Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,6.002000,6.060000,5.860000,5.868000,5.658707,1735712
2022-03-16,4.740000,4.940000,4.713000,4.902000,4.727161,4326966
2022-05-16,4.704000,4.740000,4.610000,4.706000,4.538152,885772
2022-06-16,4.181000,4.203000,4.010000,4.030000,4.030000,1378418
2022-08-16,4.311000,4.315000,4.245000,4.275000,4.275000,1613160
2022-09-16,3.711000,3.764000,3.676000,3.728000,3.728000,2664565
2022-11-16,4.171000,4.175000,4.070000,4.120000,4.120000,1865038
2022-12-16,4.051000,4.077000,3.984000,3.994000,3.994000,2113833
2023-01-16,4.613000,4.666000,4.578000,4.640000,4.640000,1141934
